题目,A,B,C,D,正确答案
以下角色中不是电视剧《欢乐颂》的是,关雎尔,安迪,白浅,邱莹莹,C
以下哪个不是直播软件？,一直播,映客,小红书,熊猫直播,C
以下哪个软件不可以购物？,淘宝网,美颜相机,洋码头,楚楚街,B
新中国是哪年成立的？,1949,1939,1964,1863,A
“冲冠一怒为红颜”中的“红颜”是指？,妲己,李师师,陈圆圆,,C
床上四件套不包括哪个？,枕套,被套,床单,避孕套,D
澳大利亚的国宝是什么动物？ ,袋鼠  ,鹰,熊猫,,A
下列动物谁跑得最快？ ,鸵鸟,猎豹,羚羊,,B
以下哪个不是手机品牌,oppo,coach,vivo,华为,B
以下哪种方式可以减肥？,吃肉,吃甜食,睡懒觉,运动,D
元宵节哪天？,正月初二,腊月初五,正月十五,八月十五,C
以下不是火腿肠品牌的是？,金锣,双汇,星巴克,,C
以下哪个不是营养品？,钙片,蛋白粉,巧克力,,C
《骆驼祥子》作者是谁 ？,巴金,老舍, 鲁迅 ,,B
人体全身有几块骨头？,208块,210块,202块,,A
我国最早文体是？,楷书,甲骨文,青鼎文,,B
李小璐深夜拜访了下面哪位明星,PGone,Pgtwo,pageone,贾乃亮,A
以下谁没有参加过我是歌手,张韶涵,李建,刘欢,黄绮珊,C
杨幂没演过下面哪部剧,宫,翻译官,活色生香,三生三世十里桃花,C
《小美好》男主是,胡歌,胡一天,胡一统,胡夏,B
以下不属于湖南卫视主持人的是,何炅,沈梦辰,张大大,孟非,D
以下那个哪个明星不是跑男的固定MC,郑凯,张艺谋,陈赫,杨颖,B 
安吉拉宝贝的原名是,杨颖,关颖,瞿颖,赵丽颖,A
Tfboys里面不包括,鹿晗,王源,王俊凯,易烊千玺,A
于谦爱好里面不包括,抽烟,纹身,喝酒,烫头,B
郭德纲的搭档是,于谦,余文乐,俞飞鸿,于文华,A
出演过《前任》系列的是,韩庚,周杰伦,吴彦祖,杜海涛,A
以下哪个不是杨幂的闺蜜,唐嫣,刘晓庆,刘亦菲,戚薇 ,B
2017年浙江卫视以哪个综艺节目出名,演员的诞生,戏精的诞生,奇葩的诞生,歌手的诞生,A
范冰冰的男友是以下哪个,黄晓明,李晨,洪金宝,陈坤,B
以下哪位男明星没有出过轨,文章,薛之谦,陈赫,王宝强,D
以下哪个男明星没被出轨过,王宝强,贾乃亮,陈羽凡,彭于晏,D
鹿晗的女朋友是谁,李雨桐,李宇春,毛晓彤,关晓彤,D
以下不是偶像剧女演员的是,郑爽,斯琴高娃,杨幂,刘诗诗,B
以下哪个不是王思聪的前女友,张予曦,雪梨,豆得儿,莫小贝,D
2008年奥运会在哪个城市举行,北京,东京,京都,伦敦,A
2008年奥运会主题曲是,北京欢迎你,北京祝福你,北京欢送你,北京喜欢你,A
不属于欢乐颂五美的是 ,王子文,杨紫,袁立,蒋欣 ,C
电视剧《刘老根儿》不包括下面哪个角色,谢大脚,刘老根儿,刘能,佟湘玉,D
在维秘秀上摔倒的是谁,吕燕,奚梦瑶,刘雯,谢娜,B
以下哪个明星不是歌手,范玮琪,范伟,蔡依林,张惠妹,B
以下不属于中国名胜古迹的是,故宫,圆明园,颐和园,西二旗,D
邓超的老婆是谁,孙俪,张俪,袁立,巩俐,A
以下不属于吸毒队的是,柯震东,房祖名,王全安,张默,C
五十度系列电影不包括下面哪部 ,五十度黑,五十度灰,五十度飞 ,五十度灰化肥会发黑,D
以下哪个角色不是漫威的超级英雄,钢铁侠,蜘蛛侠,超人,美国队长,C
以下哪个软件不能叫外卖,微博,美团外卖,百度外卖,饿了么,A
以下哪个软件是用来买电影票的,微信,猫眼,男性私人医生,陌陌,B
以下哪个软件不能买东西,天猫,京东,洋码头,西瓜小视频,D
5+6*2+1等于几,22,80,18,7,C
以下哪所不是中国的大学,北京大学,清华大学,哈佛大学,南京大学,C
以下那个应用不是用来看电影的,爱奇艺视频,腾讯视频,优酷,百度外卖,D
以下那个应用是用来交友的,陌陌,天天中彩票,大众点评,墨迹天气,A
以下哪个不是日本女优,苍井空,泷泽萝拉,小泽玛利亚,宋智孝,D
笛子是由什么做的,木头,竹子,铁皮,橡胶,B
比干是哪个朝代的人,夏朝,商朝,唐朝,宋朝,C
好莱坞巨星阿诺德施瓦辛格出生在哪个国家,中国,日本,美国,奥地利,D
《三侠五义》白玉堂是什么鼠,锦毛鼠,窜天鼠,花栗鼠,锦花鼠,A
我国的国球是,足球 ,乒乓球 ,篮球,羽毛球,B
运动键将孙杨在以下哪类比赛中获得两枚金牌,游泳,网球,体操,跳水,A
北京奥运会的举办时间,2008年7月23日,2008年8月8日,2008年?8月24日?,2008年?8月25日?,B
足球比赛时，驱逐球员出场用的牌子为,红色,黄色,绿色,蓝色,A
足球比赛时， 每队出场比赛人数为多少人,10,11,12,13,B
一场篮球赛共分为几个小节,三个,四个,五个,六个,B
奥运会每几年举办一次,2,3,4,5,D
北京奥运会的主题口号是什么,共有一个世界，共有一个梦想,同一个世界，同一个梦想,永远的朋友,动感亚洲，感动世界,B
姚明曾为哪个球队效力,火箭队,湖人队,热火队,公牛队,A
以下哪种食品中所含致癌物质最多?,羊肉串,深海鱼,青菜,苹果,A 
电脑显示器的哪个部位辐射最强?,正面,侧面,背面,上面,C
夏季在烈日下工作或运动量过大出汗多时，为预防中暑应多喝,白开水,冰糖水,盐开水,冰水,A
《前任3》中林佳的扮演者是,杜俊,王丽坤,江疏影,于文文,D
以下哪种食品可以食用,发霉的茶叶,发芽的土豆,变绿的豆芽,变红的汤圆,C
薛定谔的猫是哪位科学家的理论,爱因斯坦,薛定谔,牛顿,居里夫人,B
以下哪个不是美国总统,奥巴马,特朗普,希拉里,克林顿,C
为救曹操而死的名将是,典韦,夏侯惇,关羽 ,张飞,A
以下哪个不是日本作家,村山春树,东野圭吾,江户川乱步,柯南道尔,D
以下哪个名胜不在英国,大本钟,巴黎圣母院,伦敦塔,白金汉宫,B
以下哪位的职业不是侦探,福尔摩斯,工藤新一,服部平次,阿加莎克里斯蒂娜,D
以下哪个不是日本动漫,名侦探柯南,火影忍者,海贼王,小猪佩奇,D
以下哪个软件不能买火车票,12306,携程,去哪儿,私人男性医生,D
以下哪个软件不能在餐厅打折,大众点评,洋码头,百度糯米,口碑,B
以下哪个是海购软件,网易考拉,网易严选,网易新闻,网易花田,A
以下哪个软件可以在线看医生,春雨医生,摩拜单车,一直播,美颜相机,A
以下哪个软件不具备美颜功能,美颜相机,B621咔叽,faceu ,探探,D
以下哪个不是同性交友网站,blued ,aloha,jackd ,贝贝网,D 
以下哪个软件可以打车,滴滴打人,滴滴打车,天天中彩票,腾讯视频,B
以下哪个软件可以教你做菜,下厨房,天气通,橘子娱乐,京东,A
以下哪个软件不能导航,百度地图,高德地图,腾讯地图,钉钉,D 
可口可乐商标常用的颜色是,红色和白色,红色和黄色,白色和黄色,黄色和绿色,A
我国第一艘航母辽宁号的原名是,基辅号,瓦良格,小鹰号,林肯号,B
以下哪个软件可以减肥,乐动力,大众点评,百度外卖,淘宝,A
微信总部在哪儿,广州,上海,深圳,东莞,A
好雨知时节下一句是,春眠不觉晓,当春乃发生,处处闻啼鸟,也来风雨声,B
哪位女歌手担任过《中国好声音》的导师,张惠妹,张韶涵,张含蕴,张靓颖,A 
中国铁路之父是谁,严复,李开复,詹天佑,罗大佑,C 
以下哪个软件不能看动漫,腾讯动漫,bilibili,acfun,foodie,D
海贼王中吃了橡皮果实变成橡皮人的是,路飞,鸣人,佐助,娜美,A
以下哪个软件不能听歌,网易云音乐,虾米,QQ 音乐,快看漫画,D
以下那个品牌不卖咖啡,麦当劳,星巴克,稻香村,COSTA,C
以下哪个软件不能理财,支付宝,招商银行,滴滴打车,宜人贷,C
以下哪个软件可以记录女友的那几天,墨迹天气,大姨妈,中华万年历,keep,B
在电影《肖申克的救赎》中，主人公安迪在入狱前是什么职业,工程师,银行家,科学家,程序员,B
电影《小时代》的导演是谁,王宝强,赵薇,郭敬明,韩寒,C
《西游记》中度过火焰山是向谁借的芭蕉扇,铁扇公主,玉面公主,白骨精,嫦娥,A
不属于我过四大名著的是,西游记,三国志,水浒传,红楼梦,B
以下哪个软件不能看小说,QQ阅读,搜狗阅读,百度阅读,今日头条,D
世界四大洋中面积最小的是？,太平洋,大西洋,印度洋,北冰洋,D
世界上海拔最高的山峰是哪一座?,乔戈里峰,珠穆朗玛峰,干城章嘉峰,公格尔山峰,B
下列海洋中哪一个是我国最大的海?,南海,东海,黄海,渤海,A
